"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1G31AK7NU595095","False",,"False","DealerHold","Freight","04232","Toyota San Luis Obispo","San Luis Obispo","CA","93405","TMNA","2022","SE HYBRID SEDAN","White","Ash SofTex? [softex]",,"31072","34072","Carpet Mat Package[installed_msrp], PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Alloy Wheel Locks [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK7NU595095/detail","https://www.toyota.com/dealers/dealer/04232"
"06/27/2022","4T1G31AK7NU595100","False",,"False","DealerHold","Freight","31200","Bob Johnson Toyota","Rochester","NY","14623","TMNA","2022","SE HYBRID SEDAN","Celestial Silver Metallic","Ash SofTex? [softex]",,"30928",,"50 State Emissions, All-Weather Floor Liner Package[installed_msrp], PREFERRED OWNER'S PORTFOLIO, Dual USB Power Port (Rear Only)[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK7NU595100/detail","https://www.toyota.com/dealers/dealer/31200"
"06/27/2022","4T1G31AK7NU595114","False",,"True","Available","Allocated","42273","Sterling McCall Toyota Fort Bend","Richmond","TX","77469","GST","2022","SE HYBRID SEDAN","Celestial Silver Metallic","Black SofTex??[softex]",,"31905",,"50 State Emissions, Premium Carpet Mat Set, Charging and Connectivity Kit, Cargo Net, Front Accent Lamps, Door Sill Protectors, Frameless HomeLink<sup>?</sup> Mirror, Vehicle Fueling (4 Gal.), PDS -with Texas State Inspection","https://guest.dealer.toyota.com/v-spec/4T1G31AK7NU595114/detail","https://www.toyota.com/dealers/dealer/42273"
"06/27/2022","4T1G31AK9NU595115","False",,"False","DealerHold","Freight","15047","Hendrick Toyota Merriam","Merriam","KS","66203","TMNA","2022","SE HYBRID SEDAN","Blueprint","Ash SofTex? [softex]",,"31468",,"Carpet Mat Package[installed_msrp], Cold Weather Package, Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions","https://guest.dealer.toyota.com/v-spec/4T1G31AK9NU595115/detail","https://www.toyota.com/dealers/dealer/15047"
"06/27/2022","4T1G31AK4NU595118","False",,"True","DealerHold","Freight","04222","Toyota Carlsbad","Carlsbad","CA","92008","TMNA","2022","SE HYBRID SEDAN","White","Black SofTex??[softex]",,"31097",,"Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions","https://guest.dealer.toyota.com/v-spec/4T1G31AK4NU595118/detail","https://www.toyota.com/dealers/dealer/04222"
"06/27/2022","4T1G31AK7NU595128","False",,"False","DealerHold","Freight","04284","Claremont Toyota","Claremont","CA","91711","TMNA","2022","SE HYBRID SEDAN","Predawn Gray Mica","Ash SofTex? [softex]",,"31171",,"Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Hideaway Cargo Net[installed_msrp], First Aid Kit w/ PPE[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK7NU595128/detail","https://www.toyota.com/dealers/dealer/04284"
"06/27/2022","4T1G31AK5NU595130","False",,"False","DealerHold","Freight","04739","Toyota of Downtown LA","Los Angeles","CA","90007","TMNA","2022","SE HYBRID SEDAN","White","Black SofTex??[softex]",,"31068",,"PREFERRED OWNER'S PORTFOLIO, Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Trunk LED Light Bulb[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Frameless Homelink Mirror","https://guest.dealer.toyota.com/v-spec/4T1G31AK5NU595130/detail","https://www.toyota.com/dealers/dealer/04739"
"06/27/2022","4T1G31AK7NU595131","False",,"True","DealerHold","Freight","04222","Toyota Carlsbad","Carlsbad","CA","92008","TMNA","2022","SE HYBRID SEDAN","Predawn Gray Mica","Black SofTex??[softex]",,"31097",,"Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions","https://guest.dealer.toyota.com/v-spec/4T1G31AK7NU595131/detail","https://www.toyota.com/dealers/dealer/04222"
"06/27/2022","4T1G31AK4NU595135","False",,"True","DealerHold","Freight","04222","Toyota Carlsbad","Carlsbad","CA","92008","TMNA","2022","SE HYBRID SEDAN","Predawn Gray Mica","Black SofTex??[softex]",,"31097",,"Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions","https://guest.dealer.toyota.com/v-spec/4T1G31AK4NU595135/detail","https://www.toyota.com/dealers/dealer/04222"
"06/27/2022","4T1G31AK6NU595136","False",,"False",,"Freight","04237","700 Automall Drive","CA","Roseville Toyota","95661","TMNA","2022","SE HYBRID SEDAN","Predawn Gray Mica","Ash SofTex? [softex]",,"32028",,"Cold Weather Package, 50 State Emissions, Mudguards [installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK6NU595136/detail","https://www.toyota.com/dealers/dealer/04237"
"06/27/2022","4T1G31AK8NU595137","False",,"False","DealerHold","Freight","04303","Toyota Santa Monica","Santa Monica","CA","90401","TMNA","2022","SE HYBRID SEDAN","Predawn Gray Mica","Black SofTex??[softex]",,"32174",,"Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Frameless Homelink Mirror, Hideaway Cargo Net[installed_msrp], Door Sill Protectors[installed_msrp], Mudguards [installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK8NU595137/detail","https://www.toyota.com/dealers/dealer/04303"
"06/27/2022","4T1G31AKXNU595141","False",,"False",,"Freight","04080","Penske Toyota of Downey","Downey","CA","90241","TMNA","2022","SE HYBRID SEDAN","Midnight Black Metallic","Black SofTex??[softex]",,"31597",,"Blind Spot Monitor (BSM) [bsm], Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AKXNU595141/detail","https://www.toyota.com/dealers/dealer/04080"
"06/27/2022","4T1G31AK5NU595144","False",,"True","DealerHold","Freight","04819","Temecula Valley Toyota","Temecula","CA","92591","TMNA","2022","SE HYBRID SEDAN","White","Black SofTex??[softex]",,"31251","31251","Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp], Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK5NU595144/detail","https://www.toyota.com/dealers/dealer/04819"
"06/27/2022","4T1G31AK7NU595145","False",,"False",,"Freight","04282","Toyota of Escondido","Escondido","CA","92026","TMNA","2022","SE HYBRID SEDAN","Predawn Gray Mica","Black SofTex??[softex]",,"31468",,"Blind Spot Monitor (BSM) [bsm], PREFERRED OWNER'S PORTFOLIO, Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK7NU595145/detail","https://www.toyota.com/dealers/dealer/04282"
