"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1F31AK3NU594957","False",,"False","DealerHold","Freight","46108","3080 148th Ave.SE Ste. A","WA","Michael's Toyota of Bellevue","98007","TMNA","2022","XLE HYBRID SEDAN","Wind Chill Pearl","Black Perforated Leather",,"37199",,"50 State Emissions, Navigation Upgrade Package, Special Color, Power tilt/slide moonroof, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK3NU594957/detail","https://www.toyota.com/dealers/dealer/46108"
"06/27/2022","4T1F31AKXNU594969","False",,"True","DealerHold","Freight","18037","Berlin City Toyota of Portland","Portland","ME","4103","TMNA","2022","XLE HYBRID SEDAN","Celestial Silver Metallic","Black Perforated Leather",,"37230","37230","Carpet Mat Package[installed_msrp], Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Navigation Upgrade Package, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof","https://guest.dealer.toyota.com/v-spec/4T1F31AKXNU594969/detail","https://www.toyota.com/dealers/dealer/18037"
"06/27/2022","4T1F31AK6NU594970","False",,"True","DealerHold","Freight","12159","Advantage Toyota of River Oaks","Calumet City","IL","60409","TMNA","2022","XLE HYBRID SEDAN","Ruby Flare Pearl","Black Perforated Leather",,"39648",,"Carpet Mat Package[installed_msrp], Cold Weather Package, Driver Assist Package, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], 50 State Emissions, Adaptive Headlights, Navigation Upgrade Package, Special Color, Power tilt/slide moonroof, Alloy Wheel Locks [installed_msrp], Trunk LED Light Bulb[installed_msrp], First Aid Kit w/ PPE[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK6NU594970/detail","https://www.toyota.com/dealers/dealer/12159"
"06/27/2022","4T1F31AKXNU594972","False",,"True","DealerHold","Freight","37149","Bobby Rahal Toyota","Mechanicsburg","PA","17050","TMNA","2022","XLE HYBRID SEDAN","Predawn Gray Mica","Ash Perforated Leather",,"34905",,"Cold Weather Package, 50 State Emissions, Power tilt/slide moonroof","https://guest.dealer.toyota.com/v-spec/4T1F31AKXNU594972/detail","https://www.toyota.com/dealers/dealer/37149"
"06/27/2022","4T1F31AK3NU594991","False",,"False","DealerHold","Freight","36102","Gresham Toyota","Gresham","OR","97030","TMNA","2022","XLE HYBRID SEDAN","Predawn Gray Mica","Ash Perforated Leather",,"36843",,"PREFERRED OWNER'S PORTFOLIO, Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Navigation Upgrade Package, Power tilt/slide moonroof, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK3NU594991/detail","https://www.toyota.com/dealers/dealer/36102"
"06/27/2022","4T1F31AK1NU595007","False",,"True","DealerHold","Freight","02051","6136 East Autoloop Avenue","AZ","Earnhardt Toyota","85206","TMNA","2022","XLE HYBRID SEDAN","Predawn Gray Mica","Black Perforated Leather",,"34223","34223","Carpet Mat Package[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions","https://guest.dealer.toyota.com/v-spec/4T1F31AK1NU595007/detail","https://www.toyota.com/dealers/dealer/02051"
"06/27/2022","4T1F31AK4NU595048","False",,"False","DealerHold","Ground","12074","Lombard Toyota","Lombard","IL","60148","TMNA","2022","XLE HYBRID SEDAN","Predawn Gray Mica","Black Perforated Leather",,"37251",,"Cold Weather Package, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Navigation Upgrade Package, Power tilt/slide moonroof, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK4NU595048/detail","https://www.toyota.com/dealers/dealer/12074"
"06/27/2022","4T1F31AK5NU595057","False",,"False",,"Freight","04374","Antioch Toyota","Antioch","CA","94509","TMNA","2022","XLE HYBRID SEDAN","Predawn Gray Mica","Ash Perforated Leather",,"38819",,"Carpet Mat Package[installed_msrp], Driver Assist Package, PREFERRED OWNER'S PORTFOLIO, 50 State Emissions, Adaptive Headlights, Navigation Upgrade Package, Power tilt/slide moonroof","https://guest.dealer.toyota.com/v-spec/4T1F31AK5NU595057/detail","https://www.toyota.com/dealers/dealer/04374"
"06/27/2022","4T1F31AK6NU595066","False",,"False","DealerHold","Freight","04077","Folsom Lake Toyota","Folsom","CA","95630","TMNA","2022","XLE HYBRID SEDAN","Wind Chill Pearl","Ash Perforated Leather",,"34708",,"50 State Emissions, Mudguards [installed_msrp], Special Color, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK6NU595066/detail","https://www.toyota.com/dealers/dealer/04077"
"06/27/2022","4T1F31AKXNU595071","False",,"True",,"Ground","16049","Toyota South","Richmond","KY","40475","TMNA","2022","XLE HYBRID SEDAN","Ruby Flare Pearl","Black Perforated Leather",,"39721","39721","Carpet Mat Package[installed_msrp], Cold Weather Package, Driver Assist Package, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Adaptive Headlights, Mudguards [installed_msrp], Navigation Upgrade Package, Special Color, Power tilt/slide moonroof","https://guest.dealer.toyota.com/v-spec/4T1F31AKXNU595071/detail","https://www.toyota.com/dealers/dealer/16049"
